id,lon,lat,grid_id_50km,host_grid_id_50km,sector,tech,allocated_capacity_mw
r1549_c199,76.63777682918136,37.55818943899947,R31_C5,R31_C4,chem,pv,16.866126843309427
r1549_c200,76.64883758813983,37.560681820345785,R31_C5,R31_C4,chem,pv,16.86465030737637
r1549_c201,76.65989907070859,37.563173256482095,R31_C5,R31_C5,chem,pv,16.863174254029527
r1549_c202,76.67096127668397,37.56566374731985,R31_C5,R31_C5,chem,pv,16.861698683397726
r1549_c203,76.68202420586225,37.56815329277075,R31_C5,R31_C5,chem,pv,16.86022359560973
r1549_c204,76.69308785803959,37.57064189274622,R31_C5,R31_C5,chem,pv,16.8587489907944
r1549_c205,76.70415223301205,37.573129547157926,R31_C5,R31_C5,chem,pv,16.857274869080463
r1549_c206,76.71521733057561,37.575616255917474,R31_C5,R31_C5,chem,pv,16.85580123059665
r1549_c207,76.72628315052611,37.57810201893632,R31_C5,R31_C5,chem,pv,16.854328075471873
r1549_c219,76.85912926167602,37.60785737523817,R31_C5,R31_C5,chem,pv,17.018611925568273
r1549_c220,76.87020445403608,37.61033083559117,R31_C5,R31_C5,chem,pv,17.017146900583572
r1549_c221,76.8812803659149,37.61280334896738,R31_C5,R31_C5,chem,pv,17.01568235710982
r1549_c222,76.89235699710687,37.61527491527864,R31_C5,R31_C5,chem,pv,17.014218295278518
r1549_c223,76.90343434740629,37.617745534436686,R31_C5,R31_C5,chem,pv,17.012754715221238
r1549_c224,76.91451241660735,37.62021520635345,R31_C5,R31_C5,chem,pv,17.011291617069492
r1549_c225,76.92559120450416,37.62268393094066,R31_C5,R31_C5,chem,pv,34.01965800190959
r1549_c226,76.93667071089067,37.62515170811025,R31_C5,R31_C5,chem,pv,34.01673373401729
r1549_c227,76.94775093556083,37.62761853777404,R31_C5,R31_C5,chem,pv,34.01381043072522
r1549_c228,76.95883187830844,37.63008441984397,R31_C5,R31_C5,chem,pv,34.01088809229629
r1549_c229,76.96991353892717,37.63254935423182,R31_C5,R31_C5,chem,pv,34.007966718993565
r1549_c230,76.98099591721066,37.6350133408496,R31_C5,R31_C5,chem,pv,34.005046311079965
r1549_c231,76.9920790129524,37.637476379609176,R31_C5,R31_C5,chem,pv,34.00212686881848
r1549_c232,77.00316282594578,37.639938470422514,R31_C5,R31_C5,chem,pv,33.99920839247206
r1549_c233,77.01424735598414,37.64239961320154,R31_C5,R31_C5,chem,pv,33.99629088230368
r1550_c171,76.33164981616608,37.479539732050576,R31_C5,R31_C4,chem,pv,34.18901105563653
r1550_c172,76.34268911244628,37.48205826226729,R31_C5,R31_C4,chem,pv,16.911191217403328
r1550_c175,76.37581137470002,37.48960819661412,R31_C5,R31_C4,chem,pv,33.81345079357426
r1550_c199,76.64102502769677,37.54970196282815,R31_C5,R31_C4,chem,pv,16.87115441125997
r1550_c200,76.65208466074849,37.552194065106335,R31_C5,R31_C4,chem,pv,16.869678304179445
r1550_c201,76.66314501717564,37.55468522224575,R31_C5,R31_C5,chem,pv,16.86820267960011
r1550_c202,76.67420609677458,37.55717543415801,R31_C5,R31_C5,chem,pv,16.86672753765056
r1550_c203,76.68526789934168,37.559664700754624,R31_C5,R31_C5,chem,pv,16.86525287845958
r1550_c204,76.6963304246731,37.562153021947225,R31_C5,R31_C5,chem,pv,16.86377870215589
r1550_c205,76.70739367256496,37.56464039764746,R31_C5,R31_C5,chem,pv,16.862305008868123
r1550_c208,76.74058774956283,37.57209685091035,R31_C5,R31_C5,chem,pv,17.039783935461944
r1550_c218,76.85128155521019,37.59689020175633,R31_C5,R31_C5,chem,pv,17.0251068011314
r1550_c219,76.86235489748464,37.599364331290914,R31_C5,R31_C5,chem,pv,17.023641731906903
r1550_c220,76.87342895924935,37.60183751400907,R31_C5,R31_C5,chem,pv,17.022177143973472
r1550_c221,76.8845037402989,37.60430974982255,R31_C5,R31_C5,chem,pv,17.0207130374626
r1550_c222,76.89557924042767,37.60678103864326,R31_C5,R31_C5,chem,pv,17.019249412505708
r1550_c223,76.90665545943004,37.609251380383,R31_C5,R31_C5,chem,pv,17.01778626923422
r1550_c224,76.91773239710024,37.61172077495368,R31_C5,R31_C5,chem,pv,17.016323607779658
r1550_c225,76.92881005323243,37.61418922226716,R31_C5,R31_C5,chem,pv,17.01486142827337
r1550_c226,76.9398884276206,37.616656722235376,R31_C5,R31_C5,chem,pv,34.026799461693635
r1550_c227,76.95096752005875,37.61912327477016,R31_C5,R31_C5,chem,pv,34.023877031262884
r1550_c228,76.96204733034071,37.62158887978352,R31_C5,R31_C5,chem,pv,34.020955565517184
r1550_c229,76.97312785826023,37.62405353718735,R31_C5,R31_C5,chem,pv,34.01803506471949
r1550_c230,76.98420910361095,37.62651724689354,R31_C5,R31_C5,chem,pv,34.01511552913258
r1550_c231,76.99529106618645,37.6289800088142,R31_C5,R31_C5,chem,pv,34.01219695901911
r1550_c232,77.00637374578015,37.63144182286119,R31_C5,R31_C5,chem,pv,34.009279354642025
r1551_c201,76.66639024047086,37.54619711142571,R31_C5,R32_C5,chem,pv,16.873230252944648
r1551_c202,76.67745019389709,37.5486870445277,R31_C5,R32_C5,chem,pv,16.87175553941721
r1551_c203,76.68851087005677,37.55117603238537,R31_C5,R32_C5,chem,pv,16.87028130856307
r1551_c204,76.69957226874615,37.55366407491034,R31_C5,R32_C5,chem,pv,16.86880756051088
r1551_c205,76.71063438976142,37.55615117201432,R31_C5,R32_C5,chem,pv,16.867334295389263
r1551_c206,76.72169723289859,37.55863732360902,R31_C5,R32_C5,chem,pv,16.865861513326774
r1551_c208,76.74382508472243,37.563606789917365,R31_C5,R32_C5,chem,pv,17.044808039659493
r1551_c217,76.8434361090277,37.58592256229061,R31_C5,R32_C5,chem,pv,17.031600392310235
r1551_c218,76.85450760168449,37.588397360889495,R31_C5,R32_C5,chem,pv,17.030135278886533
r1551_c219,76.86557981380295,37.59087121283212,R31_C5,R32_C5,chem,pv,17.028670646534263
r1551_c220,76.8766527451778,37.59334411803035,R31_C5,R32_C5,chem,pv,17.027206495384824
r1551_c221,76.88772639560362,37.595816076396034,R31_C5,R32_C5,chem,pv,17.02574282556958
r1551_c222,76.89880076487488,37.59828708784103,R31_C5,R32_C5,chem,pv,17.024279637219873
r1551_c223,76.90987585278596,37.60075715227729,R31_C5,R32_C5,chem,pv,17.02281693046703
r1551_c224,76.92095165913116,37.60322626961673,R31_C5,R32_C5,chem,pv,17.021354705442484
r1551_c225,76.93202818370467,37.60569443977127,R31_C5,R32_C5,chem,pv,17.0198929622775
r1551_c226,76.94310542630056,37.60816166265287,R31_C5,R32_C5,chem,pv,17.01843170110344
r1551_c227,76.95418338671286,37.61062793817343,R31_C5,R32_C5,chem,pv,34.0339418441033
r1551_c228,76.96526206473543,37.613093266245,R31_C5,R32_C5,chem,pv,34.03102125050687
r1551_c229,76.97634146016206,37.61555764677948,R31_C5,R32_C5,chem,pv,34.02810162168022
r1551_c230,76.98742157278647,37.61802107968889,R31_C5,R32_C5,chem,pv,34.02518295788601
r1551_c231,76.99850240240227,37.62048356488522,R31_C5,R32_C5,chem,pv,34.022265259386856
r1551_c232,77.00958394880291,37.62294510228055,R31_C5,R32_C5,chem,pv,34.01934852644533
r1552_c201,76.66963474082897,37.53770892385912,R31_C5,R32_C5,chem,pv,16.878256974596372
r1552_c202,76.68069356828612,37.54019857826599,R31_C5,R32_C5,chem,pv,16.87678268923103
r1552_c203,76.69175311824213,37.54268728749992,R31_C5,R32_C5,chem,pv,16.875308886453766
