province,grid_type,grid_id,y_power,y_chem,assigned_sector
Xinjiang,land,R25_C31,-0.0,-0.0,none
Xinjiang,land,R25_C32,-0.0,-0.0,none
Xinjiang,land,R25_C33,1.0,-0.0,power
Xinjiang,land,R25_C34,-0.0,-0.0,none
Xinjiang,land,R25_C35,-0.0,-0.0,none
Xinjiang,land,R25_C36,-0.0,-0.0,none
Xinjiang,land,R25_C37,-0.0,-0.0,none
Xinjiang,land,R25_C38,-0.0,-0.0,none
Xinjiang,land,R25_C4,1.0,-0.0,power
Xinjiang,land,R25_C7,-0.0,-0.0,none
Xinjiang,land,R25_C8,-0.0,-0.0,none
Xinjiang,land,R25_C9,-0.0,-0.0,none
Xinjiang,land,R26_C10,-0.0,-0.0,none
Xinjiang,land,R26_C11,-0.0,-0.0,none
Xinjiang,land,R26_C12,-0.0,-0.0,none
Xinjiang,land,R26_C13,-0.0,-0.0,none
Xinjiang,land,R26_C14,-0.0,-0.0,none
Xinjiang,land,R26_C15,1.0,-0.0,power
Xinjiang,land,R26_C16,-0.0,-0.0,none
Xinjiang,land,R26_C17,-0.0,-0.0,none
Xinjiang,land,R26_C18,-0.0,-0.0,none
Xinjiang,land,R26_C19,-0.0,0.0,none
Xinjiang,land,R26_C2,1.0,-0.0,power
Xinjiang,land,R26_C20,-0.0,-0.0,none
Xinjiang,land,R26_C21,1.0,-0.0,power
Xinjiang,land,R26_C22,1.0,-0.0,power
Xinjiang,land,R26_C23,-0.0,-0.0,none
Xinjiang,land,R26_C24,-0.0,-0.0,none
Xinjiang,land,R26_C25,-0.0,-0.0,none
Xinjiang,land,R26_C26,-0.0,-0.0,none
Xinjiang,land,R26_C27,-0.0,-0.0,none
Xinjiang,land,R26_C28,-0.0,-0.0,none
Xinjiang,land,R26_C29,-0.0,-0.0,none
Xinjiang,land,R26_C3,1.0,-0.0,power
Xinjiang,land,R26_C30,-0.0,-0.0,none
Xinjiang,land,R26_C31,-0.0,-0.0,none
Xinjiang,land,R26_C32,-0.0,-0.0,none
Xinjiang,land,R26_C33,-0.0,-0.0,none
Xinjiang,land,R26_C34,-0.0,-0.0,none
Xinjiang,land,R26_C35,-0.0,-0.0,none
Xinjiang,land,R26_C36,-0.0,-0.0,none
Xinjiang,land,R26_C37,-0.0,-0.0,none
Xinjiang,land,R26_C38,-0.0,-0.0,none
Xinjiang,land,R26_C4,-0.0,-0.0,none
Xinjiang,land,R26_C5,-0.0,-0.0,none
Xinjiang,land,R26_C6,-0.0,-0.0,none
Xinjiang,land,R26_C7,-0.0,-0.0,none
Xinjiang,land,R26_C8,-0.0,-0.0,none
Xinjiang,land,R26_C9,-0.0,-0.0,none
Xinjiang,land,R27_C10,-0.0,-0.0,none
Xinjiang,land,R27_C11,-0.0,-0.0,none
Xinjiang,land,R27_C12,-0.0,-0.0,none
Xinjiang,land,R27_C13,-0.0,-0.0,none
Xinjiang,land,R27_C14,-0.0,-0.0,none
Xinjiang,land,R27_C15,1.0,-0.0,power
Xinjiang,land,R27_C16,-0.0,-0.0,none
Xinjiang,land,R27_C17,-0.0,-0.0,none
Xinjiang,land,R27_C18,-0.0,-0.0,none
Xinjiang,land,R27_C19,-0.0,-0.0,none
Xinjiang,land,R27_C2,-0.0,-0.0,none
Xinjiang,land,R27_C20,-0.0,-0.0,none
Xinjiang,land,R27_C21,1.0,-0.0,power
Xinjiang,land,R27_C22,-0.0,1.0,chem
Xinjiang,land,R27_C23,-0.0,-0.0,none
Xinjiang,land,R27_C24,-0.0,-0.0,none
Xinjiang,land,R27_C25,-0.0,-0.0,none
Xinjiang,land,R27_C26,-0.0,-0.0,none
Xinjiang,land,R27_C27,-0.0,-0.0,none
Xinjiang,land,R27_C28,-0.0,-0.0,none
Xinjiang,land,R27_C29,-0.0,-0.0,none
Xinjiang,land,R27_C3,-0.0,-0.0,none
Xinjiang,land,R27_C30,-0.0,-0.0,none
Xinjiang,land,R27_C31,-0.0,-0.0,none
Xinjiang,land,R27_C32,-0.0,-0.0,none
Xinjiang,land,R27_C33,-0.0,-0.0,none
Xinjiang,land,R27_C34,-0.0,-0.0,none
Xinjiang,land,R27_C35,-0.0,-0.0,none
Xinjiang,land,R27_C36,-0.0,-0.0,none
Xinjiang,land,R27_C37,-0.0,-0.0,none
Xinjiang,land,R27_C38,-0.0,-0.0,none
Xinjiang,land,R27_C4,-0.0,-0.0,none
Xinjiang,land,R27_C5,-0.0,-0.0,none
Xinjiang,land,R27_C6,-0.0,-0.0,none
Xinjiang,land,R27_C7,-0.0,-0.0,none
Xinjiang,land,R27_C8,-0.0,-0.0,none
Xinjiang,land,R27_C9,-0.0,-0.0,none
Xinjiang,land,R28_C10,-0.0,-0.0,none
Xinjiang,land,R28_C11,-0.0,-0.0,none
Xinjiang,land,R28_C12,-0.0,-0.0,none
Xinjiang,land,R28_C13,-0.0,-0.0,none
Xinjiang,land,R28_C14,-0.0,-0.0,none
Xinjiang,land,R28_C15,-0.0,-0.0,none
Xinjiang,land,R28_C16,-0.0,-0.0,none
Xinjiang,land,R28_C17,-0.0,-0.0,none
Xinjiang,land,R28_C18,-0.0,-0.0,none
Xinjiang,land,R28_C19,-0.0,-0.0,none
Xinjiang,land,R28_C20,-0.0,-0.0,none
Xinjiang,land,R28_C21,-0.0,-0.0,none
Xinjiang,land,R28_C22,-0.0,-0.0,none
Xinjiang,land,R28_C23,-0.0,-0.0,none
Xinjiang,land,R28_C24,-0.0,-0.0,none
Xinjiang,land,R28_C25,-0.0,-0.0,none
Xinjiang,land,R28_C26,-0.0,-0.0,none
Xinjiang,land,R28_C27,-0.0,-0.0,none
Xinjiang,land,R28_C28,-0.0,-0.0,none
Xinjiang,land,R28_C29,-0.0,-0.0,none
Xinjiang,land,R28_C3,-0.0,-0.0,none
Xinjiang,land,R28_C30,-0.0,-0.0,none
Xinjiang,land,R28_C31,-0.0,-0.0,none
Xinjiang,land,R28_C32,0.0,0.0,none
Xinjiang,land,R28_C33,0.0,0.0,none
Xinjiang,land,R28_C34,-0.0,-0.0,none
Xinjiang,land,R28_C35,-0.0,-0.0,none
Xinjiang,land,R28_C36,-0.0,-0.0,none
Xinjiang,land,R28_C37,-0.0,-0.0,none
Xinjiang,land,R28_C38,-0.0,-0.0,none
Xinjiang,land,R28_C4,-0.0,-0.0,none
Xinjiang,land,R28_C5,1.0,-0.0,power
Xinjiang,land,R28_C6,1.0,-0.0,power
Xinjiang,land,R28_C7,-0.0,-0.0,none
Xinjiang,land,R28_C8,-0.0,-0.0,none
Xinjiang,land,R28_C9,-0.0,-0.0,none
Xinjiang,land,R29_C10,-0.0,-0.0,none
Xinjiang,land,R29_C11,-0.0,-0.0,none
Xinjiang,land,R29_C12,-0.0,-0.0,none
